Level	Rule Name	Subject	Property	Value
ERROR	missing_label	UBERON:0003365	rdfs:label		
ERROR	missing_label	UBERON:0003570	rdfs:label		
ERROR	missing_label	UBERON:0003580	rdfs:label		
ERROR	missing_label	UBERON:0003586	rdfs:label		
ERROR	missing_label	UBERON:0003831	rdfs:label		
ERROR	missing_label	UBERON:0003837	rdfs:label		
ERROR	missing_label	UBERON:0003914	rdfs:label		
ERROR	missing_label	UBERON:0003929	rdfs:label		
ERROR	missing_label	UBERON:0004111	rdfs:label		
ERROR	missing_label	UBERON:0004119	rdfs:label		
ERROR	missing_label	UBERON:0004120	rdfs:label		
ERROR	missing_label	UBERON:0004121	rdfs:label		
ERROR	missing_label	UBERON:0004185	rdfs:label		
ERROR	missing_label	UBERON:0004253	rdfs:label		
ERROR	missing_label	UBERON:0004288	rdfs:label		
ERROR	missing_label	UBERON:0004464	rdfs:label		
ERROR	missing_label	UBERON:0004479	rdfs:label		
ERROR	missing_label	UBERON:0004765	rdfs:label		
ERROR	missing_label	UBERON:0004770	rdfs:label		
ERROR	missing_label	UBERON:0004802	rdfs:label		
ERROR	missing_label	UBERON:0004807	rdfs:label		
ERROR	missing_label	UBERON:0004815	rdfs:label		
ERROR	missing_label	UBERON:0004873	rdfs:label		
ERROR	missing_label	UBERON:0004883	rdfs:label		
ERROR	missing_label	UBERON:0004905	rdfs:label		
ERROR	missing_label	UBERON:0004906	rdfs:label		
ERROR	missing_label	UBERON:0004921	rdfs:label		
ERROR	missing_label	UBERON:0004923	rdfs:label		
ERROR	missing_label	UBERON:0005090	rdfs:label		
ERROR	missing_label	UBERON:0005153	rdfs:label		
ERROR	missing_label	UBERON:0005157	rdfs:label		
ERROR	missing_label	UBERON:0005177	rdfs:label		
ERROR	missing_label	UBERON:0005178	rdfs:label		
ERROR	missing_label	UBERON:0005181	rdfs:label		
ERROR	missing_label	UBERON:0005256	rdfs:label		
ERROR	missing_label	UBERON:0005291	rdfs:label		
ERROR	missing_label	UBERON:0005423	rdfs:label		
ERROR	missing_label	UBERON:0005597	rdfs:label		
ERROR	missing_label	UBERON:0005598	rdfs:label		
ERROR	missing_label	UBERON:0005764	rdfs:label		
ERROR	missing_label	UBERON:0005769	rdfs:label		
ERROR	missing_label	UBERON:0005856	rdfs:label		
ERROR	missing_label	UBERON:0005911	rdfs:label		
ERROR	missing_label	UBERON:0005944	rdfs:label		
ERROR	missing_label	UBERON:0006595	rdfs:label		
ERROR	missing_label	UBERON:0006598	rdfs:label		
ERROR	missing_label	UBERON:0006601	rdfs:label		
ERROR	missing_label	UBERON:0006603	rdfs:label		
ERROR	missing_label	UBERON:0007010	rdfs:label		
ERROR	missing_label	UBERON:0007026	rdfs:label		
ERROR	missing_label	UBERON:0007282	rdfs:label		
ERROR	missing_label	UBERON:0007285	rdfs:label		
ERROR	missing_label	UBERON:0007376	rdfs:label		
ERROR	missing_label	UBERON:0007383	rdfs:label		
ERROR	missing_label	UBERON:0007499	rdfs:label		
ERROR	missing_label	UBERON:0007503	rdfs:label		
